	reads.in	reads.out
57_S57_L001_R1_001.fastq.gz	73	73
58_S58_L001_R1_001.fastq.gz	157	153
59_S59_L001_R1_001.fastq.gz	44202	44041
60_S60_L001_R1_001.fastq.gz	22994	22914
61_S61_L001_R1_001.fastq.gz	13657	13633
62_S62_L001_R1_001.fastq.gz	27580	27446
63_S63_L001_R1_001.fastq.gz	12889	12858
64_S64_L001_R1_001.fastq.gz	15141	15105
65_S65_L001_R1_001.fastq.gz	15308	15271
66_S66_L001_R1_001.fastq.gz	48766	48609
67_S67_L001_R1_001.fastq.gz	53225	53025
68_S68_L001_R1_001.fastq.gz	16320	16279
69_S69_L001_R1_001.fastq.gz	20664	20600
70_S70_L001_R1_001.fastq.gz	17230	17179
71_S71_L001_R1_001.fastq.gz	19526	19464
72_S72_L001_R1_001.fastq.gz	13426	13377
73_S73_L001_R1_001.fastq.gz	24611	24552
74_S74_L001_R1_001.fastq.gz	21210	21162
75_S75_L001_R1_001.fastq.gz	19386	19347
76_S76_L001_R1_001.fastq.gz	23474	23411
77_S77_L001_R1_001.fastq.gz	21292	21220
78_S78_L001_R1_001.fastq.gz	44132	44054
79_S79_L001_R1_001.fastq.gz	14032	14000
80_S80_L001_R1_001.fastq.gz	15212	15170
81_S81_L001_R1_001.fastq.gz	21822	21756
82_S82_L001_R1_001.fastq.gz	20567	20515
83_S83_L001_R1_001.fastq.gz	29817	29726
84_S84_L001_R1_001.fastq.gz	47594	47459
