	input	filtered	denoisedF	nonchim
57	73	73	20	20
58	157	153	16	16
59	44202	44041	43790	41092
60	22994	22914	22774	22680
61	13657	13633	13497	13307
62	27580	27446	27216	27197
63	12889	12858	12694	12694
64	15141	15105	14864	14725
65	15308	15271	15151	15137
66	48766	48609	48455	48363
67	53225	53025	52843	52541
68	16320	16279	15998	15786
69	20664	20600	20356	20354
70	17230	17179	16983	16622
71	19526	19464	19314	19122
72	13426	13377	13250	13250
73	24611	24552	24352	23816
74	21210	21162	20862	20278
75	19386	19347	19082	19079
76	23474	23411	23221	22679
77	21292	21220	20971	20771
78	44132	44054	43732	41023
79	14032	14000	13787	13474
80	15212	15170	14952	14708
81	21822	21756	21613	21069
82	20567	20515	20384	20114
83	29817	29726	29414	29391
84	47594	47459	47076	45909
