"","Prevalence","TotalAbundance"
"ASV1",13,31233
"ASV2",22,25719
"ASV3",22,25266
"ASV4",15,25087
"ASV5",20,19541
"ASV6",18,16341
"ASV7",23,16145
"ASV8",22,14213
"ASV9",16,13201
"ASV10",17,12825
"ASV11",14,12416
"ASV12",19,11642
"ASV13",6,10455
"ASV14",20,10289
"ASV15",16,9398
"ASV16",16,9208
"ASV17",4,8445
"ASV18",9,8113
"ASV19",4,18
"ASV20",11,7681
"ASV21",17,7121
"ASV22",19,6746
"ASV23",19,6561
"ASV24",0,0
"ASV25",15,6057
"ASV26",2,7
"ASV27",9,5811
"ASV28",4,5734
"ASV29",15,5668
"ASV30",0,0
"ASV31",11,5374
"ASV32",16,5293
"ASV33",8,5226
"ASV34",2,4831
"ASV35",19,4695
"ASV36",0,0
"ASV37",10,4522
"ASV38",0,0
"ASV39",1,3994
"ASV40",7,3992
"ASV41",0,0
"ASV42",6,3979
"ASV43",11,3567
"ASV44",10,3560
"ASV45",8,3543
"ASV46",4,3396
"ASV47",13,3252
"ASV48",12,3189
"ASV49",13,3114
"ASV50",18,3100
"ASV51",2,2983
"ASV52",19,2971
"ASV53",17,2931
"ASV54",10,2869
"ASV55",6,2832
"ASV56",12,2630
"ASV57",6,2503
"ASV58",8,2502
"ASV59",12,2497
"ASV60",17,2454
"ASV61",15,2443
"ASV62",16,2387
"ASV63",10,2153
"ASV64",16,2122
"ASV65",8,2049
"ASV66",8,1936
"ASV67",9,1925
"ASV68",16,1916
"ASV69",4,1863
"ASV70",12,1847
"ASV71",15,1806
"ASV72",12,1750
"ASV73",13,1719
"ASV74",7,1696
"ASV75",11,1695
"ASV76",10,1642
"ASV77",3,1575
"ASV78",11,1554
"ASV79",7,1502
"ASV80",9,1488
"ASV81",13,1478
"ASV82",8,1474
"ASV83",13,1456
"ASV84",4,1397
"ASV85",18,1386
"ASV86",9,1370
"ASV87",12,1352
"ASV88",15,1351
"ASV89",3,1336
"ASV90",6,1259
"ASV91",6,1244
"ASV92",5,1232
"ASV93",3,1232
"ASV94",2,1196
"ASV95",10,1185
"ASV96",10,1182
"ASV97",4,1165
"ASV98",8,1149
"ASV99",4,1146
"ASV100",14,1145
"ASV101",8,1138
"ASV102",10,1127
"ASV103",7,1123
"ASV104",6,1117
"ASV105",4,1076
"ASV106",6,1071
"ASV107",1,1060
"ASV108",3,1060
"ASV109",14,1032
"ASV110",10,1021
"ASV111",9,942
"ASV112",0,0
"ASV113",3,871
"ASV114",11,859
"ASV115",6,832
"ASV116",12,829
"ASV117",8,815
"ASV118",8,809
"ASV119",9,807
"ASV120",7,790
"ASV121",8,783
"ASV122",9,774
"ASV123",13,765
"ASV124",4,760
"ASV125",5,744
"ASV126",9,737
"ASV127",6,728
"ASV128",1,728
"ASV129",8,701
"ASV130",5,694
